# Definitions for abbreviations
# =============================

# Important: for double quotes, use &quot;
# ----------------------------------------

4WD,Four Wheel Drive
SRAW2,Canon RAW image file format
SSB,Single SideBand
SSH,Secure Shell protocol
SSN, Nuclear Submarine
SSTV,Slow Scan Television
ST:E,Star Trek: Enterprise
SW,Shortwave or South West
SWR,Standing Wave Ratio
TB,Terabyte (1,000,000,000,000 bytes)
TC,Teleconverter
TCP,Transmission Control Protocol
THD,Total Harmonic Distortion
THX,Tomlinson Holman Crossover, originally from Lucasfilm||Thanks
TKD,Tae Kwon Do, a Korean martial art
T/R,Transmit / Receive
TL;DR,Too Long; Didn't Read
TU,Terminal Unit
Tv,Shutter Priority
TV,Television
TX,Texas||Transmit
UC,Ultra Capacitor
UDP,User Datagram Protocol
UFO,Unidentified Flying Object
UHF,Ultra High Frequency
UI,User Interface
UPNP,Universal Plug and Play
URL,Uniform Resource Locator
UK,United Kingdom
UOO,Unidentified Orbital Object
US,United States (of America)
USA,United States of America
USB,Universal Serial Bus||Upper Sideband
USGS,United States Geological Survey
USM,Ultrasonic Motor
USS,United States Ship
uV,Microvolt
UV,Ultraviolet
VAC,Volts Alternating Current
VDC,Volts Direct Current
VF,Viewfinder
VFO,Variable Frequency Oscillator
VHF,Very High Frequency
VLS,Vertical Launch System
VM,Virtual Machine
WARC,World Administrative Radio Conference
WRT,With Regard To
WSW,West South West
WTF,World Tae Kwon Do Federation||What The Fuck
WWII,World War Two
XP,An older Microsoft computer operating system
Y2K,Year 2000
YMMV,Your Milage May Vary
ZIF,Zero Insertion Force
